NAME Score Natom Nflex Hbond Hphob VwInt Eintl Dsolv SolEl mfScore RecConf molLogP 
Z167527576 -28.037338 42 8 -4.528779 -6.760663 -29.575223 8.380967 10.451003 7.404677 -91.259219 1 2.242514 
Z227899598 -27.256628 42 3 -3.081811 -6.703159 -29.266348 6.644808 9.069312 8.630049 -60.300067 1 2.709925 
Z1258293181 -27.06954 42 5 -3.456141 -6.829909 -29.874933 8.49791 10.743128 7.678974 -89.460721 1 0.594001 
Z872407662 -26.995231 42 6 -6.816122 -5.430961 -27.777766 5.476064 16.538049 8.579593 -88.679449 1 1.580569 
Z27683230 -26.965548 42 5 -3.543704 -5.636603 -30.983107 7.881553 11.640216 7.620443 -52.811263 1 1.79703 
Z1449867038 -26.329877 42 5 -5.978318 -6.510147 -27.948301 6.989466 11.14932 14.762693 -67.148982 1 3.270518 
Z924392786 -26.046864 42 4 -3.864311 -6.660647 -27.768744 6.406013 11.477539 7.504644 -72.590501 1 2.803425 
Z1591159826 -26.040262 42 4 -2.899878 -6.910878 -27.117084 5.006644 9.385162 5.462014 -68.758119 1 1.542532 
Z152131204 -25.8988 42 4 -4.43746 -6.001861 -26.701264 7.72348 14.326211 4.402768 -90.879129 1 1.256388 
Z25885064 -25.801956 42 5 -3.893274 -6.155634 -28.736607 7.963264 13.303053 5.956999 -86.35004 1 5.934131 
Z167529242 -25.718622 42 8 -5.604455 -6.183838 -26.44974 5.936034 13.288989 6.495181 -72.140667 1 2.362531 
Z26027110 -25.669188 42 5 -5.060656 -6.039662 -30.17807 5.88362 14.76854 11.034106 -103.959009 1 2.792515 
Z15659975 -25.299733 42 4 -3.204274 -6.185655 -26.620644 7.04947 9.830806 5.756074 -67.602757 1 3.69852 
Z167527480 -25.233662 42 8 -4.221521 -6.64385 -28.59141 8.265563 12.217614 6.858128 -101.626544 1 2.362531 
Z123565024 -25.214567 42 5 -1.371684 -7.921239 -31.724553 5.620336 9.006845 8.38249 -102.63437 1 3.909752 
Z354993090 -25.119559 42 6 -4.038405 -6.721128 -23.251239 3.894973 10.166419 2.465432 -94.70019 1 1.812587 
Z978980852 -25.094935 42 4 -2.858439 -6.45866 -29.081807 5.616465 11.913733 6.379887 -73.050273 1 2.574201 
Z17963473 -32.765318 43 7 -5.288761 -5.51774 -31.649428 9.963154 12.653718 3.441322 -70.968356 1 2.85971 
Z606141014 -31.320119 43 6 -3.382893 -6.532874 -31.965671 9.571937 9.353711 4.493963 -92.495663 1 3.827237 
Z53058673 -30.570329 43 5 -3.902573 -7.11307 -31.738149 9.347719 11.344953 6.512686 -92.100974 1 2.703323 
Z599627990 -30.144024 43 3 -2.998351 -6.890885 -32.994878 6.755829 12.748822 5.593876 -82.215343 1 4.764347 
Z56919084 -29.570803 43 1 -6.73447 -6.099407 -26.887921 2.879338 14.744541 10.278064 -87.027202 1 3.811366 
Z194460378 -29.146539 43 4 -4.061356 -6.726631 -28.171454 6.650689 11.671852 4.019846 -67.383731 1 1.358887 
Z1139319589 -29.027425 43 5 -2.734317 -6.791158 -27.453707 9.188018 7.03414 2.452386 -86.223888 1 2.458173 
Z1272770000 -28.665347 43 5 -5.239593 -6.13924 -31.119595 9.710044 17.620471 5.467204 -84.706046 1 1.838599 
Z1614065596 -27.533043 43 6 -3.807141 -6.504089 -28.64209 8.553075 11.923324 3.873274 -91.763813 1 3.171253 
Z214761130 -27.404947 43 3 -3.524595 -5.847218 -32.859302 7.02562 17.888305 4.656041 -73.648015 1 3.355147 
Z270069656 -27.093483 43 3 -1.462176 -7.131149 -31.048536 8.125691 9.025449 5.853244 -75.721168 1 0.668575 
Z218550484 -27.027247 43 1 -4.624093 -6.029002 -20.853543 3.68972 11.894464 0.066417 -85.540457 1 3.057363 
Z89427522 -26.855528 43 5 -3.057858 -7.63339 -29.211111 6.016869 10.293283 6.797535 -76.422663 1 3.378823 
Z635218930 -26.760497 43 5 -4.206616 -6.321777 -32.654612 8.711912 14.400973 10.563202 -116.282566 1 4.272173 
Z24089233 -26.709088 43 5 -3.632187 -5.514874 -28.503329 9.392619 11.506249 4.619624 -73.065367 1 2.247458 
Z1457884566 -26.623853 43 5 -5.137594 -6.624512 -27.47393 8.408937 7.020246 15.183983 -82.98846 1 2.254273 
Z343521112 -26.576553 43 4 -2.964368 -5.826639 -29.221885 5.67263 11.015044 5.132951 -89.172471 1 3.369912 
Z645517702 -26.368252 43 3 -3.838177 -7.641656 -28.919728 7.300592 13.410361 8.370002 -100.441361 1 3.784177 
Z1172203371 -26.16221 43 4 -4.002016 -6.749734 -30.317257 8.890677 14.742039 8.099907 -102.235485 1 2.431271 
Z954331544 -25.946302 43 3 -2.773637 -6.653538 -27.499459 9.731828 12.241997 3.10126 -89.284115 1 2.104179 
Z1139949457 -25.840393 43 5 -3.079397 -7.625407 -26.425202 7.033239 8.002111 6.792608 -83.192219 1 2.712681 
Z1192985612 -25.746176 43 3 -4.056374 -5.75087 -25.629929 2.930061 10.835244 6.171256 -94.893356 1 1.142714 
Z18491919 -25.67196 43 2 -2.711398 -6.596311 -29.365479 6.246029 11.577982 7.711208 -66.675385 1 2.876044 
Z212037038 -25.631282 43 8 -1.975699 -7.226482 -29.794597 8.260858 9.548096 3.094702 -93.661851 1 4.039539 
Z247352142 -25.449759 43 7 -4.776308 -5.919415 -29.440776 9.736491 14.299558 7.752145 -107.13598 1 2.544059 
Z17630626 -25.433187 43 4 -3.087076 -5.517642 -31.413677 8.029406 12.80349 8.310598 -69.795818 1 3.972944 
Z335712020 -25.357321 43 5 -5.527458 -6.475576 -29.054358 8.862568 14.936105 11.845549 -80.282083 1 2.570825 
Z1532938217 -25.160553 43 4 -2.48798 -7.578982 -28.811288 5.311047 10.805954 6.846632 -111.403358 1 3.69956 
Z18816784 -25.152102 43 2 -3.968683 -6.3246 -28.372102 6.161061 14.111019 8.65907 -102.368213 1 4.202674 
Z414855960 -31.718898 44 8 -5.949671 -6.587464 -28.514492 4.893686 11.413837 4.396189 -80.668846 1 3.058376 
Z742350924 -31.046256 44 5 -5.753142 -6.948502 -31.015435 9.646436 13.884438 8.737569 -101.319849 1 2.724298 
Z1143426987 -29.705319 44 4 -6.285796 -5.864272 -26.712686 3.276892 14.447401 5.46052 -98.160325 1 1.778051 
Z281062832 -29.520975 44 3 -5.117943 -6.316853 -27.68037 6.435152 13.813388 4.818245 -86.467654 1 2.471629 
Z929393616 -28.349941 44 8 -4.542349 -6.511401 -26.089256 9.366315 11.140893 0.664283 -94.320331 1 1.066911 
Z1362307562 -28.094048 44 4 -2.857806 -6.415712 -33.38777 9.542022 12.51272 7.63327 -95.576642 1 1.046163 
Z134026986 -28.060956 44 2 -2.602156 -6.650091 -28.734601 8.571538 9.497848 5.135266 -55.773544 1 2.744851 
Z30930745 -27.457872 44 6 -4.394799 -6.436245 -30.817447 9.659989 13.121879 8.104987 -91.003733 1 2.739254 
Z605811036 -27.37765 44 2 -3.141163 -6.917254 -26.405027 8.145079 9.852879 4.57488 -96.092272 1 3.175927 
Z381195346 -27.312916 44 5 -2.665931 -7.117837 -32.952128 6.381373 11.017395 8.924123 -90.389406 1 3.90743 
Z1127641499 -27.154286 44 2 -5.689236 -6.544123 -25.912148 7.17554 13.007715 9.970312 -55.772921 1 3.525148 
Z1612757998 -27.108059 44 5 -3.61067 -6.426183 -27.606693 7.683283 10.420992 4.732467 -106.983047 1 2.170794 
Z27880268 -26.932687 44 5 -3.168991 -5.979716 -29.984733 7.197636 11.230663 5.534858 -101.129449 1 3.045087 
Z229328050 -26.872559 44 6 -2.97394 -7.046814 -29.329493 9.218806 9.278657 6.277841 -102.302078 1 3.394889 
Z289065232 -26.81252 44 3 -3.049287 -7.170748 -28.701238 9.553702 11.125575 6.460052 -82.340018 1 2.72693 
