WHOLE LIST AVERAGES
Score Natom Nflex Hbond Hphob VwInt Eintl Dsolv SolEl mfScore RecConf molLogP
-26.8630573248 46.0350318471 4.7101910828 -3.45222929936 -6.23885350318 -28.8885350318 6.82484076433 11.8057324841 6.47770700637 -91.1210191083 1.0 2.16242038217

TOP 10 % LIST AVERAGES
Score Natom Nflex Hbond Hphob VwInt Eintl Dsolv SolEl mfScore RecConf molLogP
-32.4516129032 47.4838709677 5.29032258065 -5.25806451613 -6.1935483871 -30.935483871 7.29032258065 13.4516129032 6.03225806452 -96.3225806452 1.0 2.06451612903

